[Sun Jul 24 14:32:18.101307 2016] [rewrite:trace4] [pid 64732] mod_rewrite.c(475): [client 193.6.194.38:44209] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/loader.gif' pattern='!-f' => not-matched, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:18.101317 2016] [rewrite:trace1] [pid 64732] mod_rewrite.c(475): [client 193.6.194.38:44209] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] pass through /var/www/infra2/loader.gif, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595813 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] [perdir /] add path info postfix: /var/www/infra2/textmodules -> /var/www/infra2/textmodules/emlem, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595856 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] [perdir /] strip per-dir prefix: /var/www/infra2/textmodules/emlem -> var/www/infra2/textmodules/emlem, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595867 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/textmodules/emlem', referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595887 2016] [rewrite:trace4] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/textmodules' pattern='!-d' => matched, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595924 2016] [rewrite:trace4] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/textmodules' pattern='!-f' => matched, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595936 2016] [rewrite:trace2] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] [perdir /] rewrite 'var/www/infra2/textmodules/emlem' -> 'index.php?var/www/infra2/textmodules/emlem', referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595947 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] split uri=index.php?var/www/infra2/textmodules/emlem -> uri=index.php, args=var/www/infra2/textmodules/emlem, referer: http://e-magyar.hu/parser
[Sun Jul 24 14:32:21.595957 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44211] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648460a0/initial] [perdir /] add per-dir prefix: index.php -> /index.php, referer: http://e-magyar.hu/parser
